run,reference,tagged,comment
102,kenya_subA_NoPrimers,no,
103,kenya_subA_NoPrimers,no,
104,kenya_subA_NoPrimers,no,
107,kenya_subD_NoPrimers,no,
115,kenya_subC_NoPrimers,no,
117,kenya_subD_NoPrimers,no,
118,kenya_subAE_NoPrimers,no,
127,kenya_subA_NoPrimers,no,
129,kenya_subD_NoPrimers,no,
139,kenya_subA_NoPrimers,no,provisional
143,kenya_subA_NoPrimers,no,
152,kenya_subAE_NoPrimers,no,
158,kenya_subA_NoPrimers,no,
160,kenya_subA_NoPrimers,no,
167,kenya_subA_NoPrimers,no,
174,kenya_subAE_NoPrimers,no,
188,kenya_subAE_NoPrimers,no,
189,kenya_subD_NoPrimers,no,
191,kenya_subA_NoPrimers,no,
194,kenya_subA_NoPrimers,no,provisional
196,kenya_subA_NoPrimers,no,
199,kenya_subD_NoPrimers,no,
211,kenya_subA_NoPrimers,no,
214,kenya_subD_NoPrimers,no,
219,kenya_subA_NoPrimers,no,
220,kenya_subD_NoPrimers,no,
225,kenya_subA_NoPrimers,no,
232,kenya_subAE_NoPrimers,no,
235,kenya_subC_NoPrimers,no,
236,kenya_subA_NoPrimers,no,
238,kenya_subAE_NoPrimers,no,
240,kenya_subAE_NoPrimers,no,
242,kenya_subAE_NoPrimers,no,
245,kenya_subA_NoPrimers,no,
252,kenya_subG_NoPrimers,no,
262,kenya_subD_NoPrimers,no,
263,kenya_subA_NoPrimers,no,
266,kenya_subAE_NoPrimers,no,
277,kenya_subA_NoPrimers,no,
PIC27067,AF033819_pol,no,
PIC27067RNA,AF033819_pol,no,
PIC83673,AF033819_pol,no,
PIC83673RNA,AF033819_pol,no,
PIC87014,AF033819_pol,no,
PIC87014RNA,AF033819_pol,no,
PIC11439,AF033819_pol,no,
PIC64236,AF033819_pol,no,
PIC71101,AF033819_pol,no,
PIC78882,AF033819_pol,no,
PIC75688,AF033819_pol,no,
PIC83747,AF033819_pol,no,
PIC34971,AF033819_pol,no,
PIC59530,AF033819_pol,no,
PIC38417,AF033819_pol,no,
PIC14359,AF033819_pol,no,
PIC28477,AF033819_pol,no,
PIC58750,AF033819_pol,no,
PIC41325,AF033819_pol,no,
PIC88403,AF033819_pol,no,
PIC54805,AF033819_pol,no,
PIC16767,AF033819_pol,no,
PIC17543,AF033819_pol,no,
PIC13600,AF033819_pol,no,
PIC23898,AF033819_pol,no,
PIC94960,AF033819_pol,no,
PIC25122,AF033819_pol,no,
PIC26767,AF033819_pol,no,
PIC30756,AF033819_pol,no,
PIC27779,AF033819_pol,no,
PIC68008,AF033819_pol,no,
PIC45799,AF033819_pol,no,
PIC55754,AF033819_pol,no,
PIC60090,AF033819_pol,no,
PIC54566,AF033819_pol,no,
PIC89071,AF033819_pol,no,
PIC64362,AF033819_pol,no,
PIC60841,AF033819_pol,no,
PIC37858,AF033819_pol,no,
PIC66314,AF033819_pol,no,
PIC63245,AF033819_pol,no,
PIC81206,AF033819_pol,no,
PIC27067-RNA-Run3-18-Mar-2015,AF033819_pol,no,
PIC83673-RNA-Run3-18-Mar-2015,AF033819_pol,no,
PIC87014-RNA-Run3-18-Mar-2015,AF033819_pol,no,
PIC38526-RNA-Run3-18-Mar-2015,AF033819_pol,no,
PIC11439-RNA-Run3-18-Mar-2015,AF033819_pol,no,
PIC64236-RNA-Run3-18-Mar-2015,AF033819_pol,no,
PIC78882-RNA-Run3-18-Mar-2015,AF033819_pol,no,
PIC75688-RNA-Run3-18-Mar-2015,AF033819_pol,no,
PIC71276-RNA-Run3-18-Mar-2015,AF033819_pol,no,
PIC83747-RNA-Run3-18-Mar-2015,AF033819_pol,no,
PIC59530-RNA-Run3-18-Mar-2015,AF033819_pol,no,
PIC38417-RNA-Run3-18-Mar-2015,AF033819_pol,no,
PIC14359-RNA-Run3-18-Mar-2015,AF033819_pol,no,
PIC68169-RNA-Run3-18-Mar-2015,AF033819_pol,no,
PIC13600-RNA-Run3-18-Mar-2015,AF033819_pol,no,
PIC23898-DNA-Run3-18-Mar-2015,AF033819_pol,no,
PIC23898-RNA-Run3-18-Mar-2015,AF033819_pol,no,
PIC94960-DNA-Run3-18-Mar-2015,AF033819_pol,no,
PIC94960-RNA-Run3-18-Mar-2015,AF033819_pol,no,
PIC53380-DNA-Run3-18-Mar-2015,AF033819_pol,no,
PIC30756-RNA-Run3-18-Mar-2015,AF033819_pol,no,
PIC27779-RNA-Run3-18-Mar-2015,AF033819_pol,no,
PIC68008-RNA-Run3-18-Mar-2015,AF033819_pol,no,
PIC82712-DNA-Run3-18-Mar-2015,AF033819_pol,no,
PIC82712-RNA-Run3-18-Mar-2015,AF033819_pol,no,
PIC45799-RNA-Run3-18-Mar-2015,AF033819_pol,no,
PIC55754-RNA-Run3-18-Mar-2015,AF033819_pol,no,
PIC99203-RNA-Run3-18-Mar-2015,AF033819_pol,no,
PIC60090-RNA-Run3-18-Mar-2015,AF033819_pol,no,
PIC89071-RNA-Run3-18-Mar-2015,AF033819_pol,no,
PIC64362-RNA-Run3-18-Mar-2015,AF033819_pol,no,
PIC66314-RNA-Run3-18-Mar-2015,AF033819_pol,no,
PIC81206-RNA-Run3-18-Mar-2015,AF033819_pol,no,
pNL4-3-Run3-18-Mar-2015,AF033819_pol,no,
A-Y-RT1-PEPFAR-test,PEPFAR_RT1_HXB2,yes,
A-Y-RT2-PEPFAR-test,PEPFAR_RT2_HXB2,yes,
C-JA-RT1-PEPFAR-test,PEPFAR_RT1_HXB2,yes,
C-JA-RT2-PEPFAR-test,PEPFAR_RT2_HXB2,yes,
KR-214-RT1-PEPFAR-test,PEPFAR_RT1_HXB2,yes,
KR-214-RT2-PEPFAR-test,PEPFAR_RT2_HXB2,yes,
pKS-Q23-17-RT1-PEPFAR-test,PEPFAR_RT1_8E5,yes,
PIC83673-RT1-Run3-18-Mar-2015-tagged,PEPFAR_RT1_HXB2,yes,
PIC83673-RT2-Run3-18-Mar-2015-tagged,PEPFAR_RT2_HXB2,yes,
PIC27779-RT1-Run3-18-Mar-2015-tagged,PEPFAR_RT1_HXB2,yes,
PIC27779-RT2-Run3-18-Mar-2015-tagged,PEPFAR_RT2_HXB2,yes,
PIC45799-RT1-Run3-18-Mar-2015-tagged,PEPFAR_RT1_HXB2,yes,
PIC45799-RT2-Run3-18-Mar-2015-tagged,PEPFAR_RT2_HXB2,yes,
PIC60090-RT1-Run3-18-Mar-2015-tagged,PEPFAR_RT1_HXB2,yes,
PIC60090-RT2-Run3-18-Mar-2015-tagged,PEPFAR_RT2_HXB2,yes,
pNL4-3-RT1-Run3-18-Mar-2015-tagged,PEPFAR_RT1_HXB2,yes,
pNL4-3-RT2-Run3-18-Mar-2015-tagged,PEPFAR_RT2_HXB2,yes,
8E5-control,AF033819_pol,no,
R1116RT1,PEPFAR_RT1_HXB2,no,
R1039RT1,PEPFAR_RT1_HXB2,no
R1162RT1,PEPFAR_RT1_HXB2,no
R1181RT1,PEPFAR_RT1_HXB2,no
R1237RT1,PEPFAR_RT1_HXB2,no
R1253RT1,PEPFAR_RT1_HXB2,no
R1287RT1,PEPFAR_RT1_HXB2,no
R1329RT1,PEPFAR_RT1_HXB2,no
R1337RT1,PEPFAR_RT1_HXB2,no
R1397RT1,PEPFAR_RT1_HXB2,no
R1407RT1,PEPFAR_RT1_HXB2,no
R1559RT1,PEPFAR_RT1_HXB2,no
R1567RT1,PEPFAR_RT1_HXB2,no
R1613RT1,PEPFAR_RT1_HXB2,no
R1622RT1,PEPFAR_RT1_HXB2,no
R1635RT1,PEPFAR_RT1_HXB2,no
R1637RT1,PEPFAR_RT1_HXB2,no
R1644RT1,PEPFAR_RT1_HXB2,no
R1660RT1,PEPFAR_RT1_HXB2,no
R1661RT1,PEPFAR_RT1_HXB2,no
R1662RT1,PEPFAR_RT1_HXB2,no
R2011RT1,PEPFAR_RT1_HXB2,no
R2019RT1,PEPFAR_RT1_HXB2,no
R2090RT1,PEPFAR_RT1_HXB2,no
R3150RT1,PEPFAR_RT1_HXB2,no
R1039RT2,PEPFAR_RT2_HXB2,no
R1116RT2,PEPFAR_RT2_HXB2,no
R1162RT2,PEPFAR_RT2_HXB2,no
R1181RT2,PEPFAR_RT2_HXB2,no
R1237RT2,PEPFAR_RT2_HXB2,no
R1253RT2,PEPFAR_RT2_HXB2,no
R1287RT2,PEPFAR_RT2_HXB2,no
R1329RT2,PEPFAR_RT2_HXB2,no
R1337RT2,PEPFAR_RT2_HXB2,no
R1397RT2,PEPFAR_RT2_HXB2,no
R1407RT2,PEPFAR_RT2_HXB2,no
R1559RT2,PEPFAR_RT2_HXB2,no
R1567RT2,PEPFAR_RT2_HXB2,no
R1613RT2,PEPFAR_RT2_HXB2,no
R1622RT2,PEPFAR_RT2_HXB2,no
R1635RT2,PEPFAR_RT2_HXB2,no
R1637RT2,PEPFAR_RT2_HXB2,no
R1644RT2,PEPFAR_RT2_HXB2,no
R1660RT2,PEPFAR_RT2_HXB2,no
R1661RT2,PEPFAR_RT2_HXB2,no
R1662RT2,PEPFAR_RT2_HXB2,no
R2011RT2,PEPFAR_RT2_HXB2,no
R2019RT2,PEPFAR_RT2_HXB2,no
R2090RT2,PEPFAR_RT2_HXB2,no
R3150RT2,PEPFAR_RT2_HXB2,no
pKS-pol-ill-RT2_run4,PEPFAR_RT2_HXB2,no
pKS-pol-ill-RT1_run8,PEPFAR_RT2_HXB2,no
pKS-pol-ill-RT2_run8,PEPFAR_RT2_HXB2,no
R3159RT1,PEPFAR_RT1_HXB2,yes,
R3159RT2,PEPFAR_RT2_HXB2,yes,
R1270RT1,PEPFAR_RT1_HXB2,yes,
R1490RT1,PEPFAR_RT1_HXB2,yes,
R1512RT1,PEPFAR_RT1_HXB2,yes,
R1524RT1,PEPFAR_RT1_HXB2,yes,
R1556RT1,PEPFAR_RT1_HXB2,yes,
R1573RT1,PEPFAR_RT1_HXB2,yes,
R1574RT1,PEPFAR_RT1_HXB2,yes,
R1575RT1,PEPFAR_RT1_HXB2,yes,
R1589RT1,PEPFAR_RT1_HXB2,yes,
R1610RT1,PEPFAR_RT1_HXB2,yes,
R1642RT1,PEPFAR_RT1_HXB2,yes,
R1657RT1,PEPFAR_RT1_HXB2,yes,
R1663RT1,PEPFAR_RT1_HXB2,yes,
R1664RT1,PEPFAR_RT1_HXB2,yes,
R1672RT1,PEPFAR_RT1_HXB2,yes,
R2062RT1,PEPFAR_RT1_HXB2,yes,
R3159RT1,PEPFAR_RT1_HXB2,yes,
R3169RT1,PEPFAR_RT1_HXB2,yes,
R1270RT2,PEPFAR_RT2_HXB2,yes,
R1490RT2,PEPFAR_RT2_HXB2,yes,
R1512RT2,PEPFAR_RT2_HXB2,yes,
R1524RT2,PEPFAR_RT2_HXB2,yes,
R1556RT2,PEPFAR_RT2_HXB2,yes,
R1573RT2,PEPFAR_RT2_HXB2,yes,
R1574RT2,PEPFAR_RT2_HXB2,yes,
R1575RT2,PEPFAR_RT2_HXB2,yes,
R1589RT2,PEPFAR_RT2_HXB2,yes,
R1610RT2,PEPFAR_RT2_HXB2,yes,
R1642RT2,PEPFAR_RT2_HXB2,yes,
R1657RT2,PEPFAR_RT2_HXB2,yes,
R1663RT2,PEPFAR_RT2_HXB2,yes,
R1664RT2,PEPFAR_RT2_HXB2,yes,
R1672RT2,PEPFAR_RT2_HXB2,yes,
R2062RT2,PEPFAR_RT2_HXB2,yes,
R3159RT2,PEPFAR_RT2_HXB2,yes,
R3169RT2,PEPFAR_RT2_HXB2,yes,
R1011RT1,PEPFAR_RT1_HXB2,yes,
R1023RT1,PEPFAR_RT1_HXB2,yes,
R1045RT1,PEPFAR_RT1_HXB2,yes,
R1050RT1,PEPFAR_RT1_HXB2,yes,
R1057RT1,PEPFAR_RT1_HXB2,yes,
R1063RT1,PEPFAR_RT1_HXB2,yes,
R1072RT1,PEPFAR_RT1_HXB2,yes,
R1090RT1,PEPFAR_RT1_HXB2,yes,
R1100RT1,PEPFAR_RT1_HXB2,yes,
R1102RT1,PEPFAR_RT1_HXB2,yes,
R1114RT1,PEPFAR_RT1_HXB2,yes,
R1117RT1,PEPFAR_RT1_HXB2,yes,
R1136RT1,PEPFAR_RT1_HXB2,yes,
R1139RT1,PEPFAR_RT1_HXB2,yes,
R1145RT1,PEPFAR_RT1_HXB2,yes,
R1151RT1,PEPFAR_RT1_HXB2,yes,
R1156RT1,PEPFAR_RT1_HXB2,yes,
R1167RT1,PEPFAR_RT1_HXB2,yes,
R1174RT1,PEPFAR_RT1_HXB2,yes,
R1199RT1,PEPFAR_RT1_HXB2,yes,
